Questions,Answers
What attracted Lynch to Congoleum?,"It had invented seamless vinyl flooring that could be rolled out like carpet, and was building naval frigates using modular prefab techniques."
Why did Lynch like Taco Bell initially?,"Tasty tacos, 90% of country not yet exposed to them, good record, strong balance sheet, and home office that resembled a neighborhood garage."
What was Magellan's performance in Lynch's first 12 months?,The fund was up 20% while the Dow Jones average lost 17.6% and S&P 500 lost 9.4% in the same period.
How did Lynch describe his early strategy in 1978?,"Reduced holdings in autos, aerospace, railroads, pollution, utilities, chemicals, electronics, energy; added to financial institutions, broadcasting, entertainment, insurance, banking, consumer products, lodging, leasing.'"
Did Lynch have an overall strategy when he started?,"No, Lynch never had an overall strategy. His stockpicking was entirely empirical, going from case to case like a bloodhound following a scent."
How did Lynch's approach differ from growth fund managers?,"As a capital appreciation fund manager, he could buy anything when growth sectors were overvalued, while growth fund managers were forced into overpriced inventory."
What was Lynch's turnover rate in the early years?,"343% in the first year with 41 stocks, and 300% in each of the three years thereafter - a very high trading pace."
Why was Lynch trading so frequently in the early years?,"He was constantly selling to raise cash for redemptions while discovering new prospects, and had to sell something to buy something new in the small fund."
What does Lynch mean by 'pulling out the flowers and watering the weeds'?,Selling winning stocks too early while holding onto losing stocks - a common and expensive mistake he made early on.
Which great stocks did Lynch sell too early?,"Albertson's (300-bagger), Toys 'R' Us, Pic 'N' Save, Warner Communications, Federal Express ($5 to $70 in two years), and Home Depot."
How did Lynch learn about companies in his early years?,"He visited dozens at headquarters, attended regional investment conferences, and companies came to Fidelity for lunches, breakfasts, and dinners."
What was Lynch's monthly rule for industry contact?,Once a month he tried to have at least one conversation with a representative of each major industry group as an early-warning system.
What question did Lynch always ask at the end of company meetings?,"Which of your competitors do you respect the most? When a CEO admits a rival is doing better, it's a powerful endorsement."
What does Lynch say about being lied to in corporate meetings?,"In thousands of encounters, he was lied to only a handful of times - there may be fewer liars on Wall Street than Main Street."
Why are there fewer liars on Wall Street according to Lynch?,"Financial types are so widely distrusted that every claim is reviewed by the SEC, so they aren't allowed to lie, and lies can't survive quarterly earnings reports."
How did Lynch learn about the insurance industry?,"Through crash courses from executives at Aetna, Travelers, and Connecticut General in Hartford over a couple of days."
What was Lynch's insurance allocation in March 1980?,"25.4% of the fund was in property or casualty underwriters, making him insurance's best friend."
How did Lynch discover the potential in bank stocks?,"At a Robinson-Humphrey conference in Atlanta, he took a side trip to visit First Atlanta, which had 12 years of continuously higher earnings."
What impressed Lynch about regional banks?,"First Atlanta had earnings greater than the sales of many flashy companies, yet solid banks were selling for half the P/E ratio of the market."
Which banks does Lynch show as examples of great performance?,"Wachovia (10-fold increase in 10 years), Norwest of Minneapolis, and NBD Bancorp of Detroit - all looking like fast-growth company charts."
Why are regional banks mispriced according to Lynch?,"Banks growing at 15% like Pep Boys or Dunkin' Donuts get low P/E multiples, treated like mature utilities instead of growth companies."
What was Lynch's bond strategy in early 1982?,"With Treasury bonds paying 13-14%, Lynch made them his biggest position because yields exceeded normal stock returns."
Why doesn't Lynch recommend preparing for total disaster?,"If total disaster strikes, cash will be as useless as stock certificates, but if it doesn't (more likely), the 'cautious' become reckless by selling valuable assets."
How did Lynch approach the 1982 recession fears?,"He focused on the Even Bigger Picture, assumed the worst wouldn't happen, and asked what would happen if it didn't - leading him to both stocks and bonds."
What led Lynch to Chrysler in March 1982?,"He got interested in Ford as an auto rebound play, and talking to Ford convinced him Chrysler would benefit even more."
What convinced Lynch that Chrysler could survive?,"The company had capacity to survive at least a couple of years, the government had guaranteed loans, and the entire industry was due for a rebound."
What new products excited Lynch about Chrysler's future?,"The Dodge Daytona, Chrysler Laser, G-124 Turbo Car, convertibles, sportier New Yorker, and especially the T-115 minivan."
What time did Lynch's working day begin?,Lynch's working day began at 6:05 A.M. when he met his carpool ride with radiologists Jeff and Bobbie Moore.
What was Lynch doing during his carpool ride?,"Lynch sat in the back with a small light, perusing annual reports and chart books, while Bobbie held X-rays up to a light in the front seat."
What time did Lynch arrive at the office?,"By 6:45 A.M., but he wasn't alone - Fidelity was full of analysts and fund managers who arrived before dawn."
What were Lynch's 'sophisticated tools of the trade'?,"The S&P stock guide (free from brokers), antique Rolodex, empty yellow legal pads, 2½ pencils, and clunky Sharp calculator with oversize buttons."
Why did Lynch prefer the old Quotron system?,The blank screen was better because you couldn't stare at it all day watching stocks go up and down - he had to turn off the newer versions.
What did Lynch do in the precious morning hours before market opened?,"Reviewed buy/sell summaries from the day before, read in-house analyst reports, read Wall Street Journal, and wrote out new buy/sell lists."
Who were Lynch's head traders?,"Barry Lyden handled buys, and later Carlene DeLuca was assigned to handle sells, both very patient with Lynch's extensive trading lists."
How much time did Lynch spend on trading?,About an hour a day instead of 10 minutes - he admits he should have used the extra 50 minutes to call two more companies.
What is Lynch's key insight about successful investing?,"Focus on the companies, not on the stocks - this is one of the keys to successful investing."
How did Lynch keep track of his company contacts?,"He wrote down the name of everyone he met and kept detailed notes in loose-leaf binders with company names, stock prices, and story summaries."
Why did Lynch avoid the lobby when going to the bathroom?,"Corporate guests and analysts waited there, and he'd have to waste time on small talk or snub friends, so he snuck down a back stairway."
Who was Lynch's first assistant and what happened to him?,Rich Fentin set the standard for quality and went on to run the Fidelity Growth and Fidelity Puritan funds.
What other successful fund managers came from Lynch's assistant program?,"Danny Frank (Special Situations), George Noble (Overseas Fund), Bob Stansky (Growth), Will Danoff (Contrafund), and Jeff Vinik (later ran Magellan)."
What advantage did Lynch have as a capital appreciation fund manager?,"He had the widest latitude to buy stocks recommended by special situations, small-stock, growth, value, and over-the-counter specialists."
What was Lynch's innovation with the kitchen timer?,He pretended to set it at three minutes for presentations but actually shortened it to 90 seconds to keep discussions focused.
What was Lynch's approach to feedback at presentations?,"No feedback was allowed - listeners could follow up on leads or ignore them, focusing on idea quality rather than speaker quality."
How did Lynch evaluate outside analysts?,"He was selective, noting great variation in quality and preferring analysts who called companies regularly and visited them in person."
Who were some of Lynch's trusted outside analysts?,"Maggie Gilliam at First Boston (Home Depot, Limited), John Kellenyi at NatWest (utilities), Elliot Schneider at Gruntal (financial services)."
What made certain analysts valuable to Lynch?,"Analysts who reinforced opinions with multiple reports as stocks rose, not just initial buy signals that were quickly forgotten."
How did Lynch's patience change by 1981?,"He became more patient, redemptions were down so he wasn't forced to sell for cash, and turnover dropped from 300% to 110%."
What types of companies did Lynch favor in 1981?,"John Blair (broadcaster), Tandy (Radio Shack), Quixote (plastic barriers), Telecredit, ChemLawn, Seven Oaks (coupon processor), various restaurant chains."
Why was Lynch impressed with restaurant chains and retailers?,"By expanding across the country, these companies could maintain 20% growth rates for 10-15 years with favorable math."
Why did Lynch prefer retailers and restaurants over high-tech companies?,"They were less risky - a computer company can lose half its value overnight, but a donut chain won't lose business when a competitor opens in another state."
What was Lynch's biggest holding at the end of 1981?,"Mattel, the toy maker, which was 3% of the fund."
What characterized Lynch's top 10 holdings in early 1982?,"Companies like Chemical Bank, Pic 'N' Save, Verbatim, Horn & Hardart, and Pep Boys - strong balance sheets with favorable prospects."
Why could Lynch buy offbeat companies like Seven Oaks?,"In a wide-open fund like Magellan, nobody was looking over his shoulder, unlike managers subject to hierarchical second-guessing."
What does Lynch say about professional responsibility and monitoring?,"When you have to worry about what someone behind you thinks, you cease to be professional and doubt your ability to succeed."
What luxury did Lynch have by 1982?,"Instead of selling one stock to buy another, new money was pouring in at $40-71 million per month, allowing him to maintain old positions while initiating new ones."
How did Lynch's stock focus change as Magellan grew?,"Ironically, when Magellan was small he concentrated on bigger stocks, and when it became bigger he found himself concentrating on smaller stocks."
Why was Lynch depressed by the early 1983 market?,"The Dow had advanced 300 points from 1982 lows, technology issues reached giddy heights - he preferred corrections that created bargains."
What does Lynch say about bargains and market sell-offs?,"Bargains are the holy grail of the true stockpicker; corrections are opportunities to acquire more shares at low prices, not disasters."
What remained Lynch's biggest holding through 1983?,Chrysler remained at 5% of the fund (SEC maximum) and stayed his biggest holding for most of the year.
What was the structure of Lynch's day by the mid-1980s?,"6:05 AM carpool, 6:45 arrival, morning preparation, trading orders by 8 AM, then constant phone calls and company research until late."
How many companies did Lynch visit annually?,"His visits escalated from 214 in 1980 to 330 in 1982, 489 in 1983, 411 in 1984, 463 in 1985, and 570 in 1986."
What was Lynch's approach to corporate lunches as Magellan grew?,"He cut back on lunches in favor of more efficient phone calls while eating sandwiches, having developed enough sources from earlier lunches."
How did Lynch's office setup facilitate his work style?,"Four secretaries led by Paula Sullivan routed calls, chairs had become file cabinets so visitors couldn't sit, forcing brief interactions."
What was Lynch's rule about keeping up with companies?,"He kept detailed notebooks of every contact with companies, including stock prices and story summaries, essential for tracking hundreds of investments."
How did Lynch use his Saturday work time?,"Devoted to cleaning his desk, reviewing three-foot-high stacks of mail, perusing annual reports in February/March, and reviewing company notebooks."
What was Lynch's Saturday goal?,"To see some wood (desktop) at the end of the afternoon, though he didn't always achieve it."
How did Lynch handle the terrible first half of 1982?,Prime rate hit double digits along with inflation and unemployment; he bought Treasury bonds paying 13-14% as his biggest position.
Why did Lynch buy bonds in 1982?,"Not for defensive purposes due to fear of stocks, but because bond yields exceeded normal expected returns from stocks."
What convinced Lynch not to prepare for total economic collapse?,"If the economy collapsed, he'd be fishing with everyone else and portfolio strategy would be irrelevant; if not, he wanted to be in stocks and bonds."
How did Lynch approach the 1982 recession?,He assumed the worst wouldn't happen and asked 'what then?' - figuring interest rates had to come down and both stocks and bonds would profit.
How does Lynch describe the relationship between research time and number of stocks owned?,How much time you spend researching stocks is directly proportional to how many stocks you own. It takes a few hours a year to keep up with each one.
How does Lynch defend having 900 stocks in the portfolio?,"An imaginative fund manager can pick 1,000+ stocks in unusual companies that will never appear in standard Wall Street portfolios, 'flying off the radar scope.'"
What were Lynch's two reasons for taking tiny positions?,"1) Companies were quite small, so even owning 10% didn't amount to much, or 2) He wasn't convinced they deserved substantial commitment."
What were the results from Lynch's discount club investments?,"All three made money - Costco was a triple, proving the value of following up on unexpected leads."
How many S&Ls did Lynch buy in April 1983?,"39 of his 83 new acquisitions in April 1983 were banks or S&Ls, eventually totaling 100 S&Ls making 3% of the fund."
What was Lynch's approach to building positions in auto stocks?,He made what's known as an 'industry bet' by analyzing each company case-by-case rather than arbitrarily deciding on 8% auto allocation.
Which auto companies did Lynch favor over General Motors and why?,"Ford, Chrysler, and Volvo because GM was arrogant, myopic, and resting on laurels - saying it was miserable was about the nicest compliment you could give GM."
What were the profits from Lynch's major auto positions?,"Well over $100 million each from Ford and Chrysler, plus $79 million from Volvo over the six-year stretch from 1982-1988."
What was the key to Magellan's superior results according to Lynch?,"Huge gains in a few huge positions, not diversification across many small positions."
How does Lynch respond to concerns about 'liquidity' in stock selection?,"In stocks as in romance, ease of divorce is not a sound basis for commitment - if you've chosen wisely, you won't want a divorce."
What examples does Lynch give of liquid stocks that still lost money?,"Polaroid (lost 90% in 1973) and Xerox - both were actively traded and easy to sell, but fund managers still lost money by not wanting to get out."
How did Lynch acquire large positions in some stocks?,"Occasionally through large institutional blocks (2 million shares of Owens-Corning, 2 million of BankAmerica), but usually through constant nibbling over months."
What determined Lynch's vacation destinations?,Time zones and phone booth locations - Austria was good because it was afternoon there before U.S. markets opened.
Where was Lynch's favorite U.S. ski location and why?,"Balsam's in Dixville Notch, New Hampshire, because it had a phone at the bottom of the lift for calling in trades."
When did Lynch begin investing heavily in foreign stocks?,"Foreign buying began in earnest in 1984, with Lynch being the first domestic fund manager after John Templeton to invest heavily abroad."
What was Lynch's most successful research trip?,"Mid-September 1985: three weeks, 23 companies across Europe, leading to over $200 million in profits from foreign stock picks."
What happened to Lynch's luggage on the European trip?,"Sabena airline lost his luggage, but he was outfitted in a proper Swedish suit by his host's husband who had his exact measurements."
What companies did Lynch visit in Sweden?,"Esselte (office equipment), ASEA (conglomerate), Alfa Laval (milking machines/biogenetics), Electrolux (appliances), Aga (gases), Ericsson (telephones), Skandia (insurance)."
What was special about Lynch's Volvo discovery?,"The stock price was $34 and the company had $34 per share in cash, so he was getting the auto business and subsidiaries for nothing."
What lesson did Lynch learn about driving on the German autobahn?,Peter's Principle #10: Never look back when you're driving on the autobahn - he found a Mercedes three inches from his bumper at 120 mph.
Why couldn't Lynch visit Sandoz in Switzerland?,"When he called to arrange a meeting, the vice-president kept asking 'Why?' to every explanation until Lynch gave up and said goodbye."
What Italian companies did Lynch visit?,"Montedison (hydroelectric), IFI, and Olivetti, plus he saw The Last Supper - listing all four as his favorite northern Italian attractions."
What was Lynch's insight about Italy in 1985?,"Italy was like America in the 1940s-50s - a place where appliance companies, electric companies, and supermarkets would be future fast growers."
What were Lynch's top eleven foreign stock gains?,"Peugeot, Volvo, Skandia, Esselte, Electrolux, Aga, Norsk Hydro, Montedison, IFI, Tobu Railway, and Kinki Nippon Railway made over $200 million in profits."
Which was Lynch's biggest foreign stock winner?,"Tobu Railway with 386% gain in five years, though it was only 0.13% of Magellan's assets."
What was Lynch's experience calling trades from Yosemite?,"Standing in a phone booth overlooking mountains, he spent two hours giving trades and only got from A's through L's in his alphabetical holdings list."
What major tactical shift did Lynch make in 1987?,"He began deemphasizing autos and upgrading financial companies, particularly Fannie Mae and S&Ls, as the economic recovery matured."
What kept Lynch motivated despite the 'too big' criticism?,"Skeptics said $1B, $2B, $4B, $6B, $8B, and $10B were all too big, and he was determined to prove them wrong."
What was Lynch's approach to preparing shareholders for volatility?,"He warned in annual reports of Magellan's tendency to get swamped in choppy waters, believing preparation prevents panic."
What forced Lynch to sell during the 1987 crash?,"$689 million in sales and $1.3 billion in redemptions in October, forcing him to be a seller when he'd prefer to be a buyer."
What lesson does Lynch draw about shareholders and fund performance?,"Shareholders play a major role in success or failure - if they refuse to panic, fund managers won't have to liquidate at unfavorable prices."
What is Lynch's warning about cyclicals?,Cyclicals are like blackjack - stay in the game too long and it's bound to take back all your profit.
What stocks became Lynch's focus after reducing autos?,"Growth stocks with high-quality operations: Philip Morris, RJR Nabisco, Eastman Kodak, Merck, Atlantic Richfield, plus General Electric."
What was Lynch's biggest single stock winner?,"Fannie Mae, where Magellan made $500 million profit in five years, while all Fidelity funds combined made over $1 billion - possibly an all-time record."
What were Lynch's second through fourth biggest winners?,"Ford ($199 million from 1985-1989), Philip Morris ($111 million), and MCI ($92 million)."
What characterized Lynch's nine all-time winners?,"Two automakers, cigarette/food company, tobacco/insurance conglomerate, electric utility with accident, telephone company, diversified financial company, entertainment company, student loan buyer."
What does Lynch say about his most consistent losers?,"Technology stocks were his most consistent losers, including $25 million on Digital in 1988, plus losses on Tandem, Motorola, Texas Instruments, and IBM."
What does Lynch say about stockpicking being reducible to a formula?,Stockpicking can't be reduced to a simple formula or recipe that guarantees success - the 160+ pages describing his 21 stock picks prove this.
How does Lynch describe stockpicking as both art and science?,"Stockpicking is both art and science, but too much of either is dangerous - pure measurement or pure intuition both lead to poor results."
What historical example does Lynch give of measurement obsession?,"Thales, the early Greek philosopher who was so intent on counting stars that he kept falling into potholes in the road."
How does Lynch describe the 'art' approach to investing?,"The realm of intuition and passion where artistic types believe success is about having a knack and following hunches, leading to neglect of research."
What tools does Lynch prefer over high-tech trading systems?,"Lynch uses a basic Quotron, not the newfangled workstations with elaborate features - he believes professionals are missing the point with fancy software."
What does Lynch say about Warren Buffett and technology?,"Trust me, Warren Buffett doesn't use fancy trading software and technology systems."
Where should professional investors spend more time according to Lynch?,They should spend more time at the mall rather than scrambling to buy services to find out what other professionals are doing.
How many stocks did Lynch recommend in previous Barron's panels?,"1986: over 100 stocks, 1987: 226 stocks, 1988: 122 stocks, 1989: 91 stocks, 1990: 73 stocks."
What was Alan Abelson's reaction to Lynch's extensive recommendations?,Maybe we should have asked you what you don't like' and 'You are an equal-opportunity buyer. You're being nondiscriminatory.'
What is Lynch's philosophy about searching for companies?,"Searching for companies is like looking for grubs under rocks: turn over 10 rocks, find one grub; turn over 20 rocks, find two grubs."
How many recommendations did Lynch make in 1991 and 1992?,"21 companies in 1991 and 21 again in 1992, reduced from his full-time days due to part-time status."
How did Lynch feel about the overpriced market in January 1992?,He was the most depressed person on the panel because overpriced markets with stocks hitting new highs are harder to find bargains in.
What does Lynch prefer - rising or falling markets?,"The devoted stockpicker is happier when the market drops 300 points than when it rises the same amount, because drops create bargains."
What was Lynch's prediction for growth stocks in 1992?,"Much-ballyhooed growth stocks that were 1991 champions would do nothing or go sideways in 1992, or suffer 30% declines in a bad market."
Where did Lynch expect to find bargains in 1992?,"In small stocks, where he expected bargains while large growth stocks were overpriced."
What does Lynch say about reviewing previous stock picks?,Don't pick new companies just for another quote to watch - getting involved with manageable numbers and confining buys/sells to these is a good strategy.
What is the common practice Lynch criticizes about stock trading?,"Buying, selling, and forgetting a long string of companies is not likely to succeed, yet many investors continue this approach."
How does Lynch keep track of his investment stories?,He carries large wire-bound notebooks recording important details from quarterly/annual reports plus reasons for buying/selling each stock.
What does Lynch compare his notebooks to?,Other people thumbing through love letters found in the attic - he reviews these investment stories at home or on the way to office.
How did Lynch review his 21 selections from 1991?,"It was a mixed bag that did extremely well, rising 50%+ while S&P rose 30%, including various sectors from insurance to biotechnology."
What were some of Lynch's 1991 stock recommendations?,"Kemper, Household International, Cedar Fair, EQK Green Acres, Reebok, Caesars World, Phelps Dodge, Coca-Cola Enterprises, Genentech, AFLAC, K mart."
Why did Lynch reject Cedar Fair for 1992?,"The stock had risen from under $12 to $18, reducing yield from 11% to 8.5%, with no indication of improved earnings ahead."
What warning sign did Lynch see in EQK Green Acres' quarterly report?,"The company was debating whether to pay the regular quarterly dividend increase of one cent to save $100,000 - breaking a 6-year string for paltry savings."
What does Lynch say about buying on bad news vs. good news?,"Buy at sound of cannons, sell at sound of trumpets' can be misguided - buying on bad news can be costly since bad news often gets worse."
What is Lynch's preference regarding news and stock purchases?,Buying on good news is healthier long-run; wait for proof rather than rumors to improve odds considerably.
What does Lynch say about year-end bargain hunting?,"Act quickly! Bargain hunters find bargains fast these days, and by the time they're finished buying, stocks aren't bargains anymore."
What happened to Toll Brothers stock that Lynch identified as a bargain?,"He found it at $2.38 (down from $12.63), put it at top of his list in October, but it quadrupled to $8 before he could publish the recommendation."
Why does Lynch look for companies that benefit subtly from overblown crises?,"When markets overreact to news, there are often indirect beneficiaries that get overlooked but will profit when conditions normalize."
What approach does Lynch take to continuing sagas vs. disconnected events?,He thinks of investments as continuing sagas needing periodic review for new plot twists rather than disconnected events.
What does Lynch say about the January 1992 market atmosphere?,"In the festive atmosphere of a recent 300-point Dow gain, optimism abounded, but Lynch was most depressed by the overpriced conditions."
Where does Lynch find his favorite source of investment ideas?,"The Burlington Mall, located 25 miles from his hometown of Marblehead."
What investment strategy does Lynch say is superior to taking a stockbroker's advice?,Hanging out at the mall is far superior to taking a stockbroker's advice on faith or combing financial press for tips.
What example does Lynch give of retail investment success?,"$10,000 invested in 1986 in each of Home Depot, Limited, Gap, and Wal-Mart, held for 5 years, was worth over $500,000 by end of 1991."
What retail companies does Lynch pass on his drive to Burlington Mall?,"Two Radio Shacks (Tandy), Toys 'R' Us, Kids 'R' Us, Ames Department Store, LensCrafters, Howard Johnson's, Taco Bell, and Chili's."
What does Lynch note about Toys 'R' Us performance?,"It went from 25 cents to $36, representing a massive return for early investors."
What does Lynch say about the mall's resemblance to an old town square?,"It reminds him of an old town square with ponds, park benches, trees, and promenade, but with 160 enterprises instead of traditional shops."
What makes retail investing particularly profitable according to Lynch?,The homogeneity of taste in food and fashion that makes for dull culture also makes fortunes for retail and restaurant company owners.
What examples does Lynch give of successful retail expansion?,"Westward Ho of Home Depot (Atlanta), Eastward Ho of Taco Bell (California), Southward Ho of Lands' End (Wisconsin), Northward Ho of Wal-Mart (Arkansas)."
How did Lynch's daughters lead him to investment ideas?,"Annie asked 'Is Clearly Canadian a public company?' and they often wore Chili's sweatshirts, but Lynch ignored these signals initially."
What was Lynch's mistake with Clearly Canadian?,"He looked it up, didn't see it in S&P book, and forgot about it. The stock went from $3 to $26.75 (9-bagger) in one year after going public in 1991."
What does Lynch say about children as investment advisors?,"Children are part of an international tribe with same taste in caps, T-shirts, socks, and jeans - when his daughter shops at Gap, teenagers nationwide are doing the same."
When did Lynch's daughter Mary initiate coverage on the Gap?,"Summer 1990, buying school wardrobe from the Burlington Mall store when Gap had moved beyond just jeans to colorful new merchandise."
What led Lynch to investigate the Body Shop?,His three daughters headed there during a 'Christmas present trip' that was actually Lynch's research expedition.
Who first recommended Body Shop to Lynch and when?,"Analyst Monica Kalmanson recommended it at a 1990 Fidelity meeting, and head librarian Cathy Stephenson left to open a Body Shop franchise."
What was Lynch's embarrassing discovery about Body Shop?,"He had already bought shares in 1989 and forgotten - it was one of many 'tune in later' stocks in his 1,400-company portfolio."
What impressed Lynch about the Body Shop's expansion approach?,"The company was proceeding carefully and expanding with caution, requiring chairman approval even for proven franchisees' second stores."
What is Lynch's rule of thumb for growth stock pricing?,A stock should sell at or below its growth rate - even fastest-growing companies rarely achieve more than 25% growth sustainably.
How did Lynch compare Body Shop to Coca-Cola valuations?,Body Shop: 30% grower at 40x earnings vs. Coca-Cola: 15% grower at 30x earnings - he preferred the higher growth despite higher multiple.
What gave Lynch confidence in Body Shop's global potential?,"It was international almost from the start, installed on six continents, had hardly scratched the surface of any of them."
What does Lynch say about Wal-Mart's long-term success story?,Shows how stocks that have gone up 10-50 fold can still go higher - Wal-Mart was a great investment in multiple decades.
What is Lynch's key insight about retail company growth?,"As long as same-store sales increase, company isn't crippled by excessive debt, and follows expansion plans, it usually pays to stick with the stock."
What does Lynch say about getting in 'too late' on successful stocks?,"If anybody tells you a stock that's gone up 10-50 fold can't go higher, show them the Wal-Mart chart."
What does Lynch say about investing in fearsome places?,You've got to go into places where other investors and fund managers fear to tread - the most fearsome places in 1991 were connected to housing and real estate.
What evidence did Lynch see of real estate despair in his neighborhood?,So many for-sale signs sprouted in Marblehead that the for-sale sign seemed like the new state flower of Massachusetts.
What other quiet facts supported Lynch's contrarian view?,The 'affordability index' from National Association of Home Builders and percentage of mortgage loans in default told a different story than headlines.
What is Lynch's technique for investing in troubled industries?,"Wait until prevailing opinion is that things have gone from bad to worse, then buy shares in the strongest companies in the group."
When is Lynch's technique for troubled industries NOT reliable?,When quiet facts don't support improvement - oil and gas drilling industries kept getting worse since 1984 despite people saying they couldn't get worse.
Why did Lynch choose Toll Brothers for further study?,"He remembered it as a strong company with financial wherewithal to survive hard times, recommended by Ken Heebner and Alan Leifer."
What positive factors did Lynch find in Toll Brothers' situation?,"Debt had fallen $28 million, cash was up $22 million, balance sheet improved, and they had a two-year backlog of orders."
How did Lynch approach the Pier 1 investment opportunity?,"He realized people moving into houses would need lamps, room dividers, place mats, rugs, and furniture that Pier 1 sold at affordable prices."
What is the key retail indicator Lynch always checks?,"Same-store sales - when they decline in prosperity it's worrying, but decline during recession is normal and even modest positive is good."
How did Lynch analyze Pier 1's inventory situation?,"Inventories had increased but only because of 25 new stores needing stock; otherwise at acceptable levels, unlike companies covering up poor sales."
What was Pier 1's valuation when Lynch recommended it?,"$7 stock with P/E ratio of 10 based on 70-cent earnings estimate, while growing at 15% annual rate."
Who does Lynch imagine might want to acquire Pier 1?,"K mart, which was pleased with earlier acquisitions of drug, book, and office supply chains and always looking for expansion opportunities."
How did Pier 1 lead Lynch to Sunbelt Nursery?,One stock leads to another - Lynch realized lawn and garden business would benefit from housing rebound just like lampshade and dish rack business.
What opportunity did Lynch see in the nursery business?,It was one of the last mom-and-pop enterprises not supplanted by chains - opportunity for well-managed chain to do for flower beds what Dunkin' Donuts did for donuts.
How did Lynch value Sunbelt compared to Calloway's?,"Calloway's: 13 stores worth $40 million ($3M per store). Sunbelt: 280 stores, even at half Calloway's value ($1.5M each) = $420M worth."
How did Lynch calculate Sunbelt's intrinsic value?,"$420 million asset value minus $167 million debt = $253 million worth, or $14 per share vs. $5 market price."
What attracted Lynch to General Host initially?,"The company had a long-term program to buy back its own shares, recently purchasing some for $10/share."
What is Lynch's insight about companies buying back their own shares?,"When you can buy part of a company for less than the company itself has paid, it's a deal worth examining."
How does Lynch approach analyzing book value reliability?,"He asks whether it's based on a true story or fiction, then examines the balance sheet to determine asset quality."
What concerned Lynch about General Host's debt ratio?,"$167 million debt vs. $148 million equity was troublesome, but mitigated because debt wasn't due for years and wasn't owed to banks."
How does Lynch describe stockpicking as a dynamic exercise?,"Lynch emphasizes that stockpicking is dynamic - a lot happens between making selections and publication, requiring constant monitoring and updates."
What was Lynch's routine for the Barron's Roundtable selections?,"Lynch follows the same routine annually: search for undervalued companies, usually finding them in out-of-favor sectors or industries."
Where did Lynch consistently find bargains in 1991-1992?,"Lynch found no bargains among blue-chip growth stocks for two years running, including Merck, Abbott Labs, Wal-Mart, and Procter & Gamble."
How does Lynch's chart-reading technique work for growth stocks?,Lynch demonstrates that looking at long-term charts showing stock prices straying far beyond earnings lines provides danger signals to back off.
What does Lynch say about Wall Street's explanations for stock declines?,"Lynch notes that when popular stocks drop, Wall Street invents reasons (Clinton health plan for drugs, stronger dollar for Coca-Cola) when real reason is overpricing."
What principle does Lynch emphasize about stock prices and earnings?,Lynch teaches that the price of a stock (the 'p' in P/E) cannot run too far ahead of earnings (the 'e') without something having to give.
What sector revived in 1993 according to Lynch?,Lynch observed that natural gas business revived enough that energy and energy service companies could do well after years in doldrums.
How did Lynch approach the energy sector recovery?,"Lynch recommended five energy companies in 1993 (two service, three producers) noting excellent risk/reward ratios after thorough cost-cutting and consolidation."
What auto industry indicator supported Lynch's 1993 recommendations?,"Lynch used pent-up demand indicator showing auto industry would sell more cars than predicted, entering only third year of typical 5-6 year up cycle."
Which auto-related stocks did Lynch recommend in 1993?,Lynch recommended three automakers plus Harman International (car stereo equipment supplier to automakers).
What convinced Lynch that steel prices were firming in 1993?,"Lynch learned from analysts and steel industry executives that prices were starting to firm, with expectations of government protection against dumping."
How many steel and metal companies did Lynch recommend in 1993?,"Lynch recommended three steel companies and two other metal companies, finding biggest bargains in cyclicals."
What was Lynch's approach to cyclical investing in 1993?,Lynch didn't start intending to buy cyclicals for economic recovery - he simply found biggest bargains and improving earnings were in cyclicals.
How did Lynch's S&L recommendations perform through 1993?,"Lynch reports all seven 1992 S&L recommendations moved up, leading him to recommend eight new ones in 1993."
What amazes Lynch about S&L performance since 1991?,"Lynch is amazed by doubles, triples, quadruples in dozens of issues that came public since 1991 with hardly any disappointments."
Why does Lynch disagree with conventional S&L worries?,Lynch disagrees that S&L party will end when economy improves and rates rise - believes steady improvement would actually benefit S&Ls.
How would economic improvement help S&Ls according to Lynch?,"Lynch explains better real estate markets mean faster foreclosure sales at higher prices, fewer defaults, less loan loss reserves needed."
Why did Lynch begin investing in California companies in 1993?,"Lynch saw California in deep recession with negative press, similar to New England in 1990 - taking optimistic view California would survive like New England."
Which California companies did Lynch recommend in 1993?,"Lynch recommended Coast Savings Financial, H.F. Ahmanson & Co. (largest thrift), Good Guys (retail electronics), plus Fannie Mae (25% California mortgages)."
How does Lynch conduct his 24-month checkup process?,"Lynch reviews companies by staying in tune with developments, checking quarterly reports, and watching for changes that affect investment thesis."
What was Lynch's mistake with nursery companies?,"Lynch admits his passion for General Host, Sunbelt, and Calloway's was big mistake - he underestimated fierce competition and discount center impact."
What happened to Calloway's stock from Lynch's recommendation?,"Lynch notes Calloway's fell from $8 when it impressed him to $3 by end of 1993, becoming potential turnaround rather than growth opportunity."
What happened to Phelps Dodge after Lynch's recommendation?,"Lynch notes prosperous 1992 due to cost-cutting and higher copper prices, but softer copper market in 1993 caused company and stock to stall."
Why does Lynch remain optimistic about Body Shop long-term?,"Lynch sees it as global enterprise in second decade of three-decade story, with most future growth from France, Japan and other countries without competition."
What does Lynch say about Sun Distributors' patience-testing period?,"Lynch explains company did well and earnings increased steadily, but share price went nowhere for two years until September 1993 jump to $4.40."
